Zm00001d027230	Zm00001eb000010
Zm00001d027488	Zm00001eb002270
Zm00001d027489	Zm00001eb002290
Zm00001d027490	Zm00001eb002300
Zm00001d027492	Zm00001eb002310
Zm00001d027493	Zm00001eb002320
Zm00001d027494	chr1_6504469_6507449_+
Zm00001d027495	Zm00001eb002330
Zm00001d027496	Zm00001eb002350
Zm00001d027497	Zm00001eb002360
Zm00001d027498	chr1_6560058_6561320_+
Zm00001d027499	Zm00001eb002380
Zm00001d027500	Zm00001eb002390
Zm00001d027501	Zm00001eb002410
Zm00001d027502	Zm00001eb002420
Zm00001d027503	Zm00001eb002430
Zm00001d027504	Zm00001eb002440
Zm00001d027505	Zm00001eb002450
Zm00001d027506	Zm00001eb002460
Zm00001d027508	Zm00001eb002470
Zm00001d027509	Zm00001eb002480
Zm00001d027510	Zm00001eb002490
Zm00001d027511	Zm00001eb002510
Zm00001d027512	Zm00001eb002520
Zm00001d027514	Zm00001eb002530
Zm00001d027515	Zm00001eb002540
Zm00001d027516	Zm00001eb002550
Zm00001d027517	Zm00001eb002560
Zm00001d027518	chr1_7253991_7255139_-
Zm00001d027519	Zm00001eb002570
Zm00001d027522	Zm00001eb002600
Zm00001d027523	Zm00001eb002610
Zm00001d027524	Zm00001eb002620
Zm00001d027525	Zm00001eb002620
Zm00001d027527	Zm00001eb002640
Zm00001d027528	Zm00001eb002650
Zm00001d027530	Zm00001eb002660
Zm00001d027531	chr1_7491495_7491794_-
Zm00001d027532	Zm00001eb002680
Zm00001d027533	Zm00001eb002690
Zm00001d027534	Zm00001eb002700
Zm00001d027535	Zm00001eb002720
Zm00001d027536	Zm00001eb002740
Zm00001d027537	Zm00001eb002760
Zm00001d027538	Zm00001eb002770
Zm00001d027539	Zm00001eb002780
Zm00001d027540	Zm00001eb002790
Zm00001d027541	Zm00001eb002800
Zm00001d027542	Zm00001eb002810
Zm00001d027544	Zm00001eb002820
Zm00001d027546	Zm00001eb002830
Zm00001d027548	Zm00001eb002850
Zm00001d027549	Zm00001eb002860
Zm00001d027550	Zm00001eb002870
Zm00001d027551	Zm00001eb002880
Zm00001d027554	Zm00001eb002920
Zm00001d027555	Zm00001eb002930
Zm00001d027556	Zm00001eb002940
Zm00001d027557	Zm00001eb002950
Zm00001d027558	Zm00001eb002960
Zm00001d027565	chr1_8157211_8158681_-
Zm00001d027566	Zm00001eb002970
Zm00001d027567	Zm00001eb002970
Zm00001d027567	Zm00001eb002980
Zm00001d027568	chr1_8173371_8174186_-
Zm00001d027569	Zm00001eb002990
Zm00001d027570	Zm00001eb003000
Zm00001d027571	Zm00001eb003010
Zm00001d027572	Zm00001eb003020
Zm00001d027573	Zm00001eb003030
Zm00001d027576	Zm00001eb003040
Zm00001d027577	Zm00001eb003060
Zm00001d027578	Zm00001eb003070
Zm00001d027580	Zm00001eb003070
Zm00001d027581	Zm00001eb003080
Zm00001d027582	Zm00001eb003090
Zm00001d027583	Zm00001eb003100
Zm00001d027585	Zm00001eb003110
Zm00001d027587	Zm00001eb003120
Zm00001d027588	Zm00001eb003130
Zm00001d027589	Zm00001eb003140
Zm00001d027590	Zm00001eb003150
Zm00001d027591	Zm00001eb003160
Zm00001d027592	chr1_8525468_8526375_-
Zm00001d027593	Zm00001eb003170
Zm00001d027595	Zm00001eb003180
Zm00001d027596	Zm00001eb003190
Zm00001d027597	Zm00001eb003200
Zm00001d027598	Zm00001eb003210
Zm00001d027599	Zm00001eb003230
Zm00001d027601	Zm00001eb003240
Zm00001d027603	Zm00001eb003270
Zm00001d027603	Zm00001eb003280
Zm00001d027604	Zm00001eb003290
Zm00001d027605	Zm00001eb003300
Zm00001d027606	Zm00001eb003310
Zm00001d027607	chr1_8855507_8857405_-
Zm00001d027610	Zm00001eb003330
Zm00001d027611	Zm00001eb003340
Zm00001d027612	Zm00001eb003350
Zm00001d027613	Zm00001eb003360
Zm00001d027615	Zm00001eb003390
Zm00001d027616	Zm00001eb003400
Zm00001d027618	Zm00001eb003420
Zm00001d027619	Zm00001eb003440
Zm00001d027620	chr1_9091566_9094523_+
Zm00001d027621	Zm00001eb003450
Zm00001d027622	Zm00001eb003460
Zm00001d027623	Zm00001eb003470
Zm00001d027624	Zm00001eb003480
Zm00001d027625	Zm00001eb003490
Zm00001d027626	Zm00001eb003510
Zm00001d027627	Zm00001eb003520
Zm00001d027628	Zm00001eb003530
Zm00001d027630	Zm00001eb003540
Zm00001d027631	chr1_9433844_9434097_-
Zm00001d027633	Zm00001eb003550
Zm00001d027636	Zm00001eb003590
Zm00001d027637	Zm00001eb003580
Zm00001d027638	Zm00001eb003600
Zm00001d027639	Zm00001eb003610
Zm00001d027642	Zm00001eb003620
Zm00001d027643	Zm00001eb003630
Zm00001d027645	Zm00001eb003660
Zm00001d027646	Zm00001eb003670
Zm00001d027647	Zm00001eb003680
Zm00001d027648	Zm00001eb003690
Zm00001d027649	Zm00001eb003700
Zm00001d027651	Zm00001eb003720
Zm00001d027652	Zm00001eb003730
Zm00001d027655	Zm00001eb003750
Zm00001d027656	Zm00001eb003760
Zm00001d027657	Zm00001eb003770
Zm00001d027658	chr1_10266445_10267032_+
Zm00001d027659	Zm00001eb003780
Zm00001d027662	chr1_10360832_10361098_+
Zm00001d027665	Zm00001eb003810
Zm00001d027667	Zm00001eb003830
Zm00001d027671	Zm00001eb003840
Zm00001d027672	Zm00001eb003850
Zm00001d027673	Zm00001eb003860
Zm00001d027674	Zm00001eb003870
Zm00001d027675	Zm00001eb003880
Zm00001d027676	Zm00001eb003890
Zm00001d027677	Zm00001eb003900
Zm00001d027678	Zm00001eb003910
Zm00001d027679	Zm00001eb003920
Zm00001d027680	Zm00001eb003930
Zm00001d027681	Zm00001eb003940
Zm00001d027682	Zm00001eb003960
Zm00001d027683	Zm00001eb003970
Zm00001d027684	chr1_11057699_11058640_-
Zm00001d027685	Zm00001eb004000
Zm00001d027686	Zm00001eb004020
Zm00001d027687	Zm00001eb004020
Zm00001d027688	Zm00001eb004030
Zm00001d027690	chr1_11089292_11089525_+
Zm00001d027691	chr1_11128539_11145118_+
Zm00001d027694	Zm00001eb004050
Zm00001d027695	Zm00001eb004060
Zm00001d027696	chr1_11201150_11204926_+
Zm00001d027697	chr1_11209826_11213126_+
Zm00001d027698	chr1_11216479_11217435_+
Zm00001d027699	Zm00001eb004090
Zm00001d027700	Zm00001eb004100
Zm00001d027701	Zm00001eb004120
Zm00001d027702	Zm00001eb004130
Zm00001d027703	Zm00001eb004150
Zm00001d027703	Zm00001eb004140
Zm00001d027705	chr1_11449931_11449994_-
Zm00001d027706	Zm00001eb004160
Zm00001d027707	Zm00001eb004170
Zm00001d027708	Zm00001eb004180
Zm00001d027709	Zm00001eb004190
Zm00001d027710	Zm00001eb004200
Zm00001d027711	Zm00001eb004210
Zm00001d027713	Zm00001eb004230
Zm00001d027714	Zm00001eb004240
Zm00001d027715	Zm00001eb004250
Zm00001d027717	Zm00001eb004260
Zm00001d027719	Zm00001eb004290
Zm00001d027720	Zm00001eb004300
Zm00001d027721	Zm00001eb004310
Zm00001d027722	Zm00001eb004320
Zm00001d027723	Zm00001eb004340
Zm00001d027725	Zm00001eb004360
Zm00001d027726	Zm00001eb004370
Zm00001d027727	Zm00001eb004390
Zm00001d027728	Zm00001eb004400
Zm00001d027729	Zm00001eb004410
Zm00001d027731	Zm00001eb004420
Zm00001d027732	Zm00001eb004430
Zm00001d027734	Zm00001eb004440
Zm00001d027735	chr1_12282018_12282977_+
Zm00001d027736	chr1_12286054_12286382_+
Zm00001d027737	chr1_12286410_12287626_+
Zm00001d027738	chr1_12289609_12293372_+
Zm00001d027739	Zm00001eb004460
Zm00001d027740	Zm00001eb004470
Zm00001d027741	Zm00001eb004480
Zm00001d027742	Zm00001eb004490
Zm00001d027743	Zm00001eb004500
Zm00001d027744	Zm00001eb004510
Zm00001d027745	chr1_12424575_12427239_+
Zm00001d027746	Zm00001eb004530
Zm00001d031576	chr1_12430877_12431174_-
Zm00001d027748	Zm00001eb004540
Zm00001d027749	Zm00001eb004550
Zm00001d027751	Zm00001eb004560
Zm00001d027752	Zm00001eb004570
Zm00001d027752	Zm00001eb004590
Zm00001d027753	Zm00001eb004600
Zm00001d027754	Zm00001eb004610
Zm00001d027755	Zm00001eb004630
Zm00001d027756	Zm00001eb004660
Zm00001d027757	Zm00001eb004670
Zm00001d027758	chr1_12676254_12679801_+
Zm00001d027759	Zm00001eb004710
Zm00001d027760	Zm00001eb004730
Zm00001d027761	chr1_12921967_12922431_+
Zm00001d027762	chr1_12923634_12925129_+
Zm00001d027763	Zm00001eb004750
Zm00001d027764	chr1_12953879_12954902_-
Zm00001d027766	Zm00001eb004760
Zm00001d027767	Zm00001eb004770
Zm00001d027768	Zm00001eb004780
Zm00001d027769	Zm00001eb004790
Zm00001d027772	chr1_13145440_13145646_-
Zm00001d027773	chr1_13151606_13152872_+
Zm00001d027775	Zm00001eb004820
Zm00001d033203	chr1_13333874_13334207_+
Zm00001d027787	chr1_13356356_13356562_+
Zm00001d027788	Zm00001eb004890
Zm00001d027788	Zm00001eb004900
Zm00001d027789	Zm00001eb004920
Zm00001d027790	Zm00001eb004940
Zm00001d027791	Zm00001eb004950
Zm00001d027792	chr1_13514482_13514739_+
Zm00001d027794	Zm00001eb004960
Zm00001d027795	Zm00001eb004970
Zm00001d027797	chr1_13587141_13587368_+
Zm00001d027798	Zm00001eb004980
Zm00001d027799	Zm00001eb004990
Zm00001d027800	Zm00001eb005000
Zm00001d027801	Zm00001eb005010
Zm00001d027802	Zm00001eb005020
Zm00001d027803	Zm00001eb005030
Zm00001d027804	chr1_13808818_13810644_-
Zm00001d027805	Zm00001eb005060
Zm00001d027807	Zm00001eb005070
Zm00001d027808	Zm00001eb005080
Zm00001d027809	Zm00001eb005100
Zm00001d027810	Zm00001eb005110
Zm00001d027811	chr1_14206813_14212450_+
Zm00001d027812	Zm00001eb005130
Zm00001d027813	Zm00001eb005140
Zm00001d027815	Zm00001eb005170
Zm00001d027816	Zm00001eb005190
Zm00001d027819	Zm00001eb005200
Zm00001d027820	chr1_14373952_14374347_+
Zm00001d027821	chr1_14387089_14387466_+
Zm00001d027823	chr1_14471778_14472628_-
Zm00001d027824	Zm00001eb005210
Zm00001d027826	Zm00001eb005220
Zm00001d027827	Zm00001eb005230
Zm00001d027831	Zm00001eb005240
Zm00001d027832	Zm00001eb005250
Zm00001d027833	Zm00001eb005260
Zm00001d027834	Zm00001eb005270
Zm00001d027835	Zm00001eb005280
Zm00001d027837	Zm00001eb005300
Zm00001d027838	Zm00001eb005310
Zm00001d027839	Zm00001eb005320
Zm00001d035360	chr1_14653984_14654655_+
Zm00001d027841	Zm00001eb005330
Zm00001d027842	Zm00001eb005340
Zm00001d027843	Zm00001eb005350
Zm00001d027844	Zm00001eb005360
Zm00001d027845	Zm00001eb005370
Zm00001d027846	Zm00001eb005380
Zm00001d027847	Zm00001eb005390
Zm00001d027848	Zm00001eb005400
Zm00001d027849	Zm00001eb005410
Zm00001d027850	Zm00001eb005420
Zm00001d027851	Zm00001eb005430
Zm00001d027852	Zm00001eb005440
Zm00001d027853	Zm00001eb005450
Zm00001d027854	Zm00001eb005460
Zm00001d027855	Zm00001eb005500
Zm00001d027856	Zm00001eb005530
Zm00001d027858	chr1_15334945_15335184_+
Zm00001d027859	Zm00001eb005540
Zm00001d027860	chr1_15425288_15427115_-
Zm00001d027861	Zm00001eb005550
Zm00001d027862	Zm00001eb005560
Zm00001d027863	Zm00001eb005570
Zm00001d027864	Zm00001eb005580
Zm00001d027866	Zm00001eb005590
Zm00001d027867	chr1_15652690_15653163_-
Zm00001d027868	Zm00001eb005600
Zm00001d027869	Zm00001eb005640
Zm00001d027869	Zm00001eb005630
Zm00001d027870	Zm00001eb005650
Zm00001d027871	Zm00001eb005660
Zm00001d027872	Zm00001eb005670
Zm00001d027873	Zm00001eb005680
Zm00001d027874	Zm00001eb005690
Zm00001d027875	Zm00001eb005700
Zm00001d027876	Zm00001eb005710
Zm00001d027877	chr1_16179330_16180280_-
Zm00001d027878	Zm00001eb005740
Zm00001d027879	Zm00001eb005760
Zm00001d027880	Zm00001eb005770
Zm00001d027881	Zm00001eb005780
Zm00001d027882	Zm00001eb005800
Zm00001d027883	Zm00001eb005810
Zm00001d027884	Zm00001eb005820
Zm00001d027885	Zm00001eb005830
Zm00001d027886	Zm00001eb005840
Zm00001d027887	Zm00001eb005850
Zm00001d027888	Zm00001eb005860
Zm00001d027889	Zm00001eb005870
Zm00001d027890	Zm00001eb005890
Zm00001d027892	Zm00001eb005900
Zm00001d027893	Zm00001eb005920
Zm00001d027894	Zm00001eb005940
Zm00001d027895	Zm00001eb005950
Zm00001d027896	Zm00001eb005960
Zm00001d027897	chr1_16895486_16896465_+
Zm00001d027898	Zm00001eb005970
Zm00001d027899	Zm00001eb005980
Zm00001d027900	Zm00001eb005990
Zm00001d027901	Zm00001eb006000
Zm00001d027902	chr1_17055694_17056179_+
Zm00001d027903	Zm00001eb006010
Zm00001d027904	Zm00001eb006020
Zm00001d027907	Zm00001eb006040
Zm00001d027908	Zm00001eb006050
Zm00001d027911	Zm00001eb006060
Zm00001d027912	chr1_17267564_17269466_-
Zm00001d027914	chr1_17273588_17276588_-
Zm00001d027915	Zm00001eb006070
Zm00001d027916	Zm00001eb006080
Zm00001d027918	Zm00001eb006100
Zm00001d027919	Zm00001eb006110
Zm00001d027920	Zm00001eb006120
Zm00001d027919	Zm00001eb006130
Zm00001d027921	Zm00001eb006140
Zm00001d027922	Zm00001eb006150
Zm00001d027924	Zm00001eb006160
Zm00001d027925	Zm00001eb006180
Zm00001d027927	Zm00001eb006190
Zm00001d027928	Zm00001eb006200
Zm00001d027930	Zm00001eb006240
Zm00001d027932	Zm00001eb006260
Zm00001d027934	Zm00001eb006270
Zm00001d027935	Zm00001eb006280
Zm00001d027936	Zm00001eb006300
Zm00001d027936	Zm00001eb006310
Zm00001d027936	Zm00001eb006290
Zm00001d027937	Zm00001eb006340
Zm00001d027937	Zm00001eb006320
Zm00001d027937	Zm00001eb006330
Zm00001d027938	Zm00001eb006350
Zm00001d027939	Zm00001eb006360
Zm00001d027941	Zm00001eb006380
Zm00001d027943	Zm00001eb006390
Zm00001d027944	Zm00001eb006400
Zm00001d027945	chr1_17949906_17952659_+
Zm00001d027946	Zm00001eb006410
Zm00001d027947	Zm00001eb006420
Zm00001d027948	Zm00001eb006430
Zm00001d027949	Zm00001eb006440
Zm00001d027950	Zm00001eb006450
Zm00001d027951	Zm00001eb006460
Zm00001d027956	Zm00001eb006470
Zm00001d027955	Zm00001eb006480
Zm00001d027957	Zm00001eb006480
Zm00001d027962	Zm00001eb006510
Zm00001d027963	Zm00001eb006520
Zm00001d027965	Zm00001eb006530
Zm00001d027966	Zm00001eb006540
Zm00001d027967	Zm00001eb006550
Zm00001d027968	chr1_18402585_18407570_+
Zm00001d027969	Zm00001eb006560
Zm00001d027971	Zm00001eb006570
Zm00001d027973	Zm00001eb006590
Zm00001d027974	Zm00001eb006600
Zm00001d027975	Zm00001eb006610
Zm00001d027976	Zm00001eb006620
Zm00001d027978	Zm00001eb006630
Zm00001d027979	Zm00001eb006640
Zm00001d027980	Zm00001eb006650
Zm00001d027981	Zm00001eb006650
Zm00001d027982	Zm00001eb006660
Zm00001d027983	Zm00001eb006670
Zm00001d027986	chr1_19307253_19308184_-
Zm00001d027987	Zm00001eb006680
Zm00001d027988	Zm00001eb006690
Zm00001d027989	chr1_19373998_19374683_+
Zm00001d027990	chr1_19376285_19376488_-
Zm00001d027991	Zm00001eb006700
Zm00001d027992	Zm00001eb006720
Zm00001d027993	Zm00001eb006730
Zm00001d027994	Zm00001eb006740
Zm00001d027995	Zm00001eb006760
Zm00001d027996	Zm00001eb006770
Zm00001d027997	Zm00001eb006780
Zm00001d027997	Zm00001eb006790
Zm00001d027997	Zm00001eb006800
Zm00001d027998	chr1_19735931_19736419_+
Zm00001d027999	Zm00001eb006830
Zm00001d028000	chr1_19780693_19790629_-
Zm00001d028001	chr1_19791993_19795470_-
Zm00001d028002	Zm00001eb006850
Zm00001d028003	Zm00001eb006850
Zm00001d028004	Zm00001eb006860
Zm00001d028005	Zm00001eb006870
Zm00001d028006	Zm00001eb006880
Zm00001d028007	Zm00001eb006890
Zm00001d028008	Zm00001eb006900
Zm00001d028009	Zm00001eb006910
Zm00001d028010	Zm00001eb006920
Zm00001d028011	Zm00001eb006930
Zm00001d028012	Zm00001eb006940
Zm00001d028013	Zm00001eb006950
Zm00001d028015	Zm00001eb006970
Zm00001d028016	Zm00001eb006990
Zm00001d028017	Zm00001eb007000
Zm00001d028018	Zm00001eb007010
Zm00001d028019	Zm00001eb007020
Zm00001d028020	Zm00001eb007030
Zm00001d028021	chr1_20394594_20395551_-
Zm00001d028022	Zm00001eb007050
Zm00001d028024	Zm00001eb007060
Zm00001d028025	Zm00001eb007070
Zm00001d028026	Zm00001eb007080
Zm00001d028028	chr1_20757383_20758098_+
Zm00001d028030	chr1_20760912_20761349_+
Zm00001d028031	chr1_20768679_20770685_+
Zm00001d028032	chr1_20776956_20778405_-
Zm00001d028033	chr1_20779532_20779781_+
Zm00001d028032	chr1_20780164_20780805_-
Zm00001d028033	chr1_20781072_20781202_+
Zm00001d028034	Zm00001eb007090
Zm00001d028035	Zm00001eb007100
Zm00001d028036	Zm00001eb007110
Zm00001d028038	Zm00001eb007130
Zm00001d028039	Zm00001eb007140
Zm00001d028040	Zm00001eb007150
Zm00001d028041	Zm00001eb007160
Zm00001d028042	Zm00001eb007160
Zm00001d028043	Zm00001eb007170
Zm00001d028045	Zm00001eb007180
Zm00001d028046	Zm00001eb007190
Zm00001d028047	Zm00001eb007200
Zm00001d028050	Zm00001eb007220
Zm00001d028051	Zm00001eb007230
Zm00001d028053	Zm00001eb007240
Zm00001d028054	Zm00001eb007250
Zm00001d028055	Zm00001eb007270
Zm00001d028056	Zm00001eb007280
Zm00001d028057	chr1_21631213_21634207_-
Zm00001d028059	chr1_21639989_21645165_-
Zm00001d028060	chr1_21646855_21647672_-
Zm00001d028061	Zm00001eb007300
Zm00001d028062	Zm00001eb007310
Zm00001d028063	Zm00001eb007310
Zm00001d028064	Zm00001eb007320
Zm00001d028066	Zm00001eb007340
Zm00001d028066	Zm00001eb007350
Zm00001d028066	Zm00001eb007330
Zm00001d028068	Zm00001eb007370
Zm00001d028069	Zm00001eb007390
Zm00001d028069	Zm00001eb007410
Zm00001d028069	Zm00001eb007400
Zm00001d028070	Zm00001eb007420
Zm00001d028070	Zm00001eb007430
Zm00001d028071	Zm00001eb007440
Zm00001d028072	Zm00001eb007460
Zm00001d028073	Zm00001eb007470
Zm00001d028074	Zm00001eb007490
Zm00001d028075	Zm00001eb007510
Zm00001d032589	chr1_21943026_21946065_-
Zm00001d028077	Zm00001eb007550
Zm00001d028079	chr1_22041822_22045136_-
Zm00001d028080	Zm00001eb007550
Zm00001d029157	chr1_22050768_22056468_-
Zm00001d028082	chr1_22061464_22062875_-
Zm00001d028083	chr1_22070484_22070746_+
Zm00001d028084	Zm00001eb007570
Zm00001d028085	Zm00001eb007580
Zm00001d028086	chr1_22320854_22323608_+
Zm00001d028088	Zm00001eb007600
Zm00001d028089	Zm00001eb007610
Zm00001d028090	chr1_22451819_22452576_+
Zm00001d028091	Zm00001eb007630
Zm00001d028092	Zm00001eb007640
Zm00001d028093	Zm00001eb007650
Zm00001d028094	Zm00001eb007670
Zm00001d028096	Zm00001eb007680
Zm00001d028097	Zm00001eb007690
Zm00001d028098	Zm00001eb007700
Zm00001d028100	Zm00001eb007720
Zm00001d028102	Zm00001eb007730
Zm00001d028103	Zm00001eb007740
Zm00001d028104	Zm00001eb007750
